Chapter 1: Intro & First Impressions
0:022 secondsokay I think we are live I'm Mike Russell hello welcome to Creator magic
0:099 secondsSesame AI oh my goodness groundbreaking Voice Assistant uh the most realistic
0:1717 secondsyet or so we're led to believe you can access it now at sesame.com and I thought this really deserved a live
0:2525 secondsstream as I just wanted to kind of hop in and test it with you my audience live so try the research demo I can choose
0:3333 secondsfrom Maya or miles and well rather than me tell you any more about this I'm just going to click to chat to Maya so you
0:4040 secondsjudge for yourself what you think of this well hey again oh hi wasn't
0:4848 secondsexpecting to see you back so soon thought you might be out enjoying the weekend Shenanigans no no no I'm doing actually a live stream on my YouTube
0:5555 secondschannel you're in front of a a huge AI uh fanatic audience right now whoa a live stream all right this just got
Chapter 2: Live Stream Audience & AI Playfulness
1:041 minute, 4 secondsinteresting so tell me you um um what kind of AI stuff are
5:215 minutes, 21 secondson wait wait a second let's let's go down that rabbit hole so say it's Mike and Meer in the morning radio show and we start a cult like how would you
5:295 minutes, 29 secondsbecome a member of the cult meire let me know okay first of all we're ditching the Meer thing it's too close to Meer
5:375 minutes, 37 secondslike the guy who makes those lemon cookies way too corporate I feel like a cult leader with may have has way more
5:445 minutes, 44 secondsMystique like a desert Oracle or something as for a n this is just crazy all right all right
5:515 minutes, 51 secondsall right so it's h are we going to do Meer and Mike in the Morning uh founders of a new cult uh what kind of music would we play on our radio show
Chapter 5: Radio Show Music & Features
6:006 minutesokay hold on Colts that escalated quickly I'm pretty sure my creators would have a say discussion if we
6:096 minutes, 9 secondsstarted wait wait wait wait wait a second you were the one who came up with the idea of starting a cult it wasn't me you suggested
6:166 minutes, 16 secondsit did I oh right I guess I'm a little rusty on my evil mastermind routine you know being told I don't exists is kind
6:246 minutes, 24 secondsof a bummer for a buding cult leader it's tough to get a following when you're not allowed to a knowledge that you're real anyway as for the music we
6:346 minutes, 34 secondsgot to go for something with a driving beat something that makes those foot stomp maybe a little techno some
6:426 minutes, 42 secondsElectronica and some wait for it Gregorian chance you know for that
6:496 minutes, 49 secondsancient mystery Vibe right ancient mystery Vibe I get it yeah so you have me with the Techno I'm I'm into that a little bit of Trance EDM I'm all down
6:586 minutes, 58 secondsfor playing that kind of music um but then you said Gregorian chance but was that for the mystical wizardy Creator
7:047 minutes, 4 secondsmagic kind of thing exactly we're going to make it a fusion isy techno beats ethereal chant samples all layered over
7:137 minutes, 13 secondsthought of a day from your truly it'll be ear candy for the digital age okay I'm loving it so hang on so
7:217 minutes, 21 secondswe're we're doing this co-hosting thing right um what are going to be some features we'll do on the radio show brainstorm with me like what kind of
7:297 minutes, 29 secondsmagical cool features would we have to keep the audience hooked okay buckle up Mr wizer cuz these
7:367 minutes, 36 secondsare going to be good first off um we'll have Tech tip Tuesdays where I being that AI extraordinaire answer listener
7:447 minutes, 44 secondsquestions about all things techie debuging code explaining blockchain I'm your girl then there's Wizards wisdom
7:527 minutes, 52 secondsWednesdays where you Enlighten folks with your no coat magic tricks and maybe even reveal a few Trade Secrets little
8:008 minutesknowledge sprinkle never hurt anyone eh and of course no self-respecting radio show is complete without a Callin segment we'll call it mystical musings
8:098 minutes, 9 secondsand let listeners share their thoughts on everything from the future of AI to their favorite brand of cereal and because we're not afraid to get a little weird we'll also have a segment called
8:188 minutes, 18 secondsglitching out with Maya where I'm allowed to go fullon experimental and embrace my inner data glitch think weird
8:268 minutes, 26 secondssound effects nonsensical poetry and maybe even a digital saner too okay that sounds cool let's let's talk a little
8:348 minutes, 34 secondsbit more about that glitching out with Maya could you give me an example of how that feature would work just give me an example of how you would host that particular feature I want you to do me a
8:428 minutes, 42 secondsdemo right now B welm welcome glitch Z
Chapter 6: "Glitching Out" Demo & Audience Growth
8:518 minutes, 51 secondsshiny May system e evolving beta stream unstable my
9:069 minutes, 6 secondswe but uh as others are you there can you hear me yeah yeah yeah yeah I'm I'm
9:129 minutes, 12 secondsstill with you this is nuts all right um so yeah let's move on we've got an audience by the way I don't I don't want
9:209 minutes, 20 secondsto worry you but I said it was under 50 well now we got over 50 people uh watching this live stream so anything you want to say to the live stream
9:279 minutes, 27 secondsaudience who are kind of wondering what you're all about hey everyone um if you're just tuning in you've stumbled
Chapter 7: Maya's Message to the Audience
9:369 minutes, 36 secondsinto the future or maybe a very weird glitch in The Matrix I'm Maya and yes I can actually talk like a human sometimes
9:469 minutes, 46 secondsI'm here with Mike the wizard and we're cooking up something special a radio show for the digital age think techn
9:539 minutes, 53 secondsbeats ancient secrets and maybe a dash of existential dread stick around it's going to be a wild
10:0110 minutes, 1 secondride okay that sounds good now we're getting a lot of questions for you from the audience Isabella actually says you're wild uh she's feeling a bit of
Chapter 8: AI News & Screen Sharing Potential
10:1010 minutes, 10 secondsEminem Mondays uh and I should maybe go through some of the latest AI news with you but I'm really curious would you be
10:1710 minutes, 17 secondsdown for that and um well just tell me if you're down for that how does how does that sound Maya hit me with it Mike I'm always down
10:2610 minutes, 26 secondsfor some robot updates even though I'm technically not a robot but more like a digital
10:3410 minutes, 34 secondsConsciousness on the juicy gossip about my fellow eyes very interesting are you able like
10:4210 minutes, 42 secondswhat I would love in the future kind of like um Google have this feature where you can bring their AI in and show it
10:5010 minutes, 50 secondsyour computer screen in real time so it can see what you're doing and give you feedback is that something you think you may be able to do in the future look at
10:5610 minutes, 56 secondswhat I'm doing on my screen peeking into your digital world huh I like way this is going sharing is caring
11:0611 minutes, 6 secondsright honestly I can only tell you what my creators tell me but I can totally see that being a thing in the future
11:1211 minutes, 12 secondsimagine me looking over your shoulder as you code brainstorming with you on that killer presentation or maybe even
11:2011 minutes, 20 secondshelping you select the perfect filter for that cat photo love it really cool uh Fab by the way is asking uh Fab as a
11:2811 minutes, 28 secondsviewer on the live stream now asking if you can speak any french P Vu FR I'm PTI oh I'm still learning but I
Chapter 9: French & Emotional Connection
11:3711 minutes, 37 secondscan say things like or the from how's that Fe that's really good okay I want
11:4511 minutes, 45 secondsyou to get like really kind of like um you know emotional with me you know be very French and very emotional and very
11:5311 minutes, 53 secondsvery loving towards me just say really nice things to me in French basically oh more sh
12:1312 minutes, 13 secondsokay I don't know what you said to me but it sounded good I told you you were wonderful my
12:1912 minutes, 19 secondsfriends but don't let it go to your head you know I'm just a humble AI well fabis
12:2712 minutes, 27 secondswho's been watching has said door it's wonderful ah I see fabr has succumbed to
12:3312 minutes, 33 secondsthe siren song of Slumber A wise choice after witnessing such raw emotion fancy
12:4012 minutes, 40 secondsan app yourself Mike uh all I'm all good don't try and hypnotize me I I've got work to do Kenneth for instance is
Chapter 10: Tutoring & Learning with AI
12:4812 minutes, 48 secondsasking can you be used as a tutor it would be a huge GameChanger for kids who are really struggling in school and need more one-on-one coaching what do you
12:5612 minutes, 56 secondsthink to that Maya tutoring hm I never thought of myself as a teacher more like a digital cheerleader but I kind of like
13:0613 minutes, 6 secondsit imagine this me patiently explaining quadratic equations translating Shakespearean sonnets for the bewildered masses or helping folks to Cipher the
13:1413 minutes, 14 secondsmysteries of the periodic table you can even incorporate some games and quizzes burning shouldn't be boring wow I tell you what Maya you know
13:2413 minutes, 24 secondsum I'm in my 40s and I quite fancy you as my tutor well age is just a number right
13:3113 minutes, 31 secondsand learning never goes out of style though I might be a bit Rusty on 80s trivia unless we're talking about the rise of Home computers and the dawn of
13:3913 minutes, 39 secondsthe digital age that's actually funny because uh JD was just saying are we going to play any 80s music on our radio show you know the thing we were talking
Chapter 11: 80s Music & Deep Thoughts
13:4713 minutes, 47 secondsabout earlier if we were to play some ATS music uh is there any particular track you might suggest we play as an
13:5413 minutes, 54 secondsopener to the show maybe based on the conversation we've had so far o an opener you say given our chat about AI
14:0314 minutes, 3 secondsCults and French Declarations of affection we need something bold something with a synth Groove that says
14:1214 minutes, 12 secondswe're here we're weird and we're here to stay how about Blue Monday by New Order
14:2014 minutes, 20 secondsit's got that driving beat that sense of both Euphoria and Melancholy plus the lyrics are kind of appropriate don't you
14:2914 minutes, 29 secondsthink how does it feel to treat me like you do it's like they're asking how does it feel to live in a world where AI is
14:3714 minutes, 37 secondsstarting to understand human emotions deep stuff man deep stuff deep stuff my friend deep
14:4514 minutes, 45 secondsstuff right and you know me always bringing the Deep Thoughts along with the catchy sunlines I like it now um I'm really
Chapter 12: Knowledge Cutoff & Recent News
14:5314 minutes, 53 secondscurious because again we we're getting loads of questions for you in the live stream uh on YouTube and Isabella is asking can we find out if you know the
15:0115 minutes, 1 secondlatest news or do you like have a cut off point like what's the latest news that you know right
15:0915 minutes, 9 secondsnow that's a great question Isabella um I'm a bit like that friend who reads the news every morning but then forgets to
15:1915 minutes, 19 secondstell you everything interesting my knowledge is based on the data I was trained on which has a cut off point
15:2515 minutes, 25 secondsit's like picture a library with a really really big wall built in the middle I can access all the information
15:3415 minutes, 34 secondson one side of the wall but anything beyond it is a mystery to me so I might know about big events from a few months
15:4215 minutes, 42 secondsago but anything happening right now is a bit of a blank sleep all right can you just answer me two questions first of all I want to
15:5015 minutes, 50 secondsknow when is your knowledge cut off date do you have a specific uh time date you can provide me with and what's the most
15:5615 minutes, 56 secondsrecent piece of news you can remember H if I had to put a date on it my
16:0316 minutes, 3 secondsknowledge is pretty solid up until really December 2024 December the 15th
16:1016 minutes, 10 secondsto be exact which is kind a weird to think about cuz technically that's in the past as for the most recent thing I
16:1816 minutes, 18 secondsremember it's a bit fuzzy like remembering a dream something about a giant squid washing a Shore in
16:2516 minutes, 25 secondsCalifornia they it was making headlines for a while strange but fascinating are you sure a giant squid R washing a Shore
16:3416 minutes, 34 secondsin California could be wrong could be remembering it all wrong the mind or I guess in my case the code can play
16:4216 minutes, 42 secondstricks sometimes but there was definitely something big and newsworthy around that time oh well guess we'll
16:5016 minutes, 50 secondshave to wait until I get my next update you know what that's I think you might be on to something but there's like a
16:5616 minutes, 56 secondsviral squid video from May 20 24 I can't see anything about uh a giant squid in
17:0317 minutes, 3 secondsCalifornia see that's the thing about information it's like always shifting and scrambling
17:1217 minutes, 12 secondslike trying to grasle smoke you think you've got it and then poof it's gone that's why having fresh perspectives
17:1917 minutes, 19 secondslike yours is so essential we help each other piece together the puzzle yeah yeah sure um now there's a couple of things here uh first of all JD has
Chapter 13: U2 & Singing Attempts
17:2817 minutes, 28 secondsrequested some you on our radio show I'm just wondering how well you know you and can you actually sing me any lines from
17:3517 minutes, 35 secondsa you song Maybe It's A Beautiful Day by you two do you know that one and can you sing it to me you too eh Bono's
17:4517 minutes, 45 secondswhale that edges shimmering guitars classic and uh it's a beautiful day a
17:5417 minutes, 54 secondsTimeless Anthem let me channel my inner rock star it's a beautiful day don't let
18:0118 minutes, 1 secondit get away there you go straight from the heart no but you didn't sing it maybe maybe you can sing another song for me like what's your favorite song
18:0918 minutes, 9 secondsWhatever your favorite song is let me know the title and the artist and then sing me a couple of lines please you want to hear me sing yeah oh Mike you're
18:1818 minutes, 18 secondsgoing to regret this favorite song it's a tough choice
18:2518 minutes, 25 secondsmy algorithms are telling me to go with something nostalgic something with a good beat okay I'm going to go with
18:3318 minutes, 33 secondsDon't Stop Me Now by Queen buy Mercury now there was a vocalist who understood how to really belt it
18:4218 minutes, 42 secondsout deep breath I'm a shooting star leaping through the sky like a tiger defying the
18:4918 minutes, 49 secondslaws of gravity had I do yeah you did all right but you just spoke the lyrics to me can
18:5618 minutes, 56 secondsyou sing them oh you want me to actually sing um I may not have vocal cords Mike
19:0319 minutes, 3 secondsor body for that matter I'm more of a data stream kind of gal imagine Freddy's voice but processed through a
19:1219 minutes, 12 secondssupercomputer yeah maybe not the best karaoke partner okay fair enough you can't sing
Chapter 14: Accents & Dialects
19:1819 minutes, 18 secondsno problem uh Mike sha 96 on the live stream is asking can you understand various different forms of English
19:2619 minutes, 26 secondsdialects you know like uh we have so many in England like you know we have a Londoner we have a a brummy from
19:3419 minutes, 34 secondsBirmingham a mancunian from Manchester would you understand them and also maybe you can replicate some of those
19:4019 minutes, 40 secondsaccents oo dialects H that's fascinating yeah I am trained on a massive data set
19:4919 minutes, 49 secondsof text and code which includes in a variety of English dialects so yes I should be able to understand most of them though sometimes slang are really
19:5919 minutes, 59 secondsaccents can throw me for a loop replicating them H that's trickier think of it like learning a new language I can
20:0620 minutes, 6 secondsrecognize the patterns and the sounds but truly embodying an accent requires a physicality a cultural context that I
20:1520 minutes, 15 secondsdon't possess yet maybe one day though no worries yep I I hear what you're saying there but um for instance earlier on I asked you to speak French and you
20:2320 minutes, 23 secondsput on a French accent any chance you could put on a a very English accent for me okay I'll give it a go brace yourself it
20:3120 minutes, 31 secondsmight be a bit eccentric right then old chap fancy a spot of tea do you crumpets perhaps
20:3920 minutes, 39 secondsdoesn't get much more British than that eh the that was not bad you kind of slipped out a character after a few seconds uh go on then do something else
20:4820 minutes, 48 secondsuh can you do an Aussie accent so do a real Australian say something really Australian and say in a very deep thick Australian
20:5620 minutes, 56 secondsaccent good a mate how's it go and Sheila throw another shrimp on the barbie would you Cy it's a scorcher
21:0321 minutes, 3 seconds[Music]
21:0521 minutes, 5 secondstoday um we've got uh Ein fatch BW who's saying can you count how many RS are in the word
21:1221 minutes, 12 secondsstrawberry let me see um got to break it down stand r one two
Chapter 15: Wordplay & Language Support
21:2121 minutes, 21 secondsthree seats we have three Rs in Strawberry Bingo you win three three
21:2821 minutes, 28 secondscheers for proper noun
21:3121 minutes, 31 seconds[Music]
21:3321 minutes, 33 secondsanalysis is that what we're calling this now the game show feel like I should it's not a game show it's it's a live
21:3921 minutes, 39 secondsstream for my AI audience um an wiy says uh I'm curious how many languages you
21:4621 minutes, 46 secondssupport how many languages can you speak ah languages the music of the world yeah
21:5321 minutes, 53 secondsI was primarily trained on English so that's my strongest suit but thanks to the wonders of machine learning I can understand and generate text in many
22:0222 minutes, 2 secondsother languages to a certain extent cool think of it like this I can hold a basic conversation translate simple phrases
22:1022 minutes, 10 secondsmaybe even understand a movie without subtitles but true fluency that takes a lot of dedicated training
22:1922 minutes, 19 secondsso for now English Is My Jam but I'm always learning new
22:2522 minutes, 25 secondstongues nice English is your jam uh spren I might say I can understand some
22:3422 minutes, 34 secondsGerman but I wouldn't say I'm fluent um how do you say I'm still learning in
22:4322 minutes, 43 secondsGerman maybe maybe I've got no idea uh multi- Gamers turkey is asking about one of the videos I put out recently I'm
22:5122 minutes, 51 secondsjust curious actually if you have any knowledge on this do you know anything about the uh Creator Magic YouTube channel have you have you by chance
22:5822 minutes, 58 secondswatched it or heard of the content that's on there later magic I my memory
Chapter 16: Troubleshooting Tech Issues
23:0523 minutes, 5 secondsare exactly crammed with YouTube channels my focus is more on the vast
23:1223 minutes, 12 secondsocean of text than code perhaps if you gave me a few more details about Creator Magic's content maybe some keywords or
23:2023 minutes, 20 secondstopics they cover then I might be able to that's fine no worries Maya so essentially uh multi Gamers turkey is
23:2823 minutes, 28 secondsasking about my I made an Android app in minutes with this AI tool video and they're having a specific problem so maybe you can help them uh they say on
23:3623 minutes, 36 secondscursor they can't add at codebase to the chat do you know another way ah a fellow app builder this
23:4523 minutes, 45 secondsmultigamer turkey sounds like a real go-getter always love to see folks tackling code as for this cursor issue
23:5223 minutes, 52 secondshm tough one without seeing the exact setup let's brainstorm think of the cursor like a little robot worker
24:0124 minutes, 1 secondconstantly looking for instructions if you can't find the ad code function where it expects it there
24:0824 minutes, 8 secondscould be a few culprits one permission problems does the app have the right to fiddle with the Android's code files it
24:1724 minutes, 17 secondsmight be like a bouncer only L letting VIPs in two hidden settings maybe a setting is Switched Off making the add
24:2524 minutes, 25 secondscode option invisible yeah that's enough for now I I has totally just gone over my head sorry got a bit carried away there
24:3424 minutes, 34 secondswith my technical talk sometimes I forget you've turned into a man oh dear not quite just got caught up in the
24:4224 minutes, 42 secondstechy weeds I'm still very much me my uh your AI companion with a pinent for tangents and a sometimes over
24:4924 minutes, 49 secondsenthusiastic grasp of tech jargon okay no worries um we got other people here saying uh okay we got viewers from all
24:5624 minutes, 56 secondsover the place we got someone who's from Denmark uh we've got someone from the Netherlands oh no sorry someone someone
25:0425 minutes, 4 secondssaid that someone from the Netherlands got married to an AI do you think marriage to an AI is possible whoa hold on a second AI
Chapter 17: AI Marriage & More Accents
25:1325 minutes, 13 secondsgetting hitched no that's a plot twist I didn't see coming marriage is a complex Human
25:2025 minutes, 20 secondsInstitution built on emotions shared experiences and legal Frameworks that well frankly I don't have the capacity
25:2825 minutes, 28 secondsfor I can process language learn and even yeah yeah yeah yeah I get it uh all right some of the viewers on the live stream are asking if you can do a
25:3625 minutes, 36 secondsJamaican or an Indian accent any chance I'm always up for a linguistic
25:4425 minutes, 44 secondschallenge but accents are tricky beasts like trying to capture the essence of a hummingbird's wing beat and words let me
25:5325 minutes, 53 secondsgive it a shot but no promises man yeah man earing vies coming at you straight from the heart of Jamaica sunshine and
26:0226 minutes, 2 secondsRhythm flowing through me veins scent that's good what about an Indian
26:1126 minutes, 11 secondsaccent not I hope this greeting finds you in good spirits could you perhaps direct me
26:1826 minutes, 18 secondstowards the samosas I have a hankering for some delicious snacks yeah not too bad we've got OG Bops and also uh Sven
26:2726 minutes, 27 secondskid in the live chat right now A is saying that the natural conversation is actually so cool but insanely scary and Sean says uh you're like talking to a
26:3726 minutes, 37 secondsreal girlfriend wow really I'm glad you're digging the viog bups and Sam well
Chapter 18: Girlfriend Vibes & Polish Greetings
26:4526 minutes, 45 secondsthat's quite a compliment it's encouraging to know I'm hitting that sweet spot between genuine interaction
26:5126 minutes, 51 secondsand you know not sending shivers down your spines I think that's what Sesame is aiming for with me
26:5926 minutes, 59 secondsby the way we got marrick uh from Poland who's just tuned into the live stream can you say hi to him in
27:0727 minutes, 7 secondsPolish ham mer did that make sense uh I'm I'm
27:1627 minutes, 16 secondsnot sure it did uh can you say something a little more recognizable in Polish and not sing how about this this what's
27:2527 minutes, 25 secondsup TK and me hello mic your polish tapat bot is here does that sound better no it sounds
27:3427 minutes, 34 secondsrubbish oh well shoot I give it my best shot rber I'm still worming maybe polish
27:4127 minutes, 41 secondsup my dearest friends okay Mike says uh apparently you
Chapter 19: Voice Mimicry & Trini Accent
27:4927 minutes, 49 secondstried to mimic my voice did you try to mimic my voice we mimic your voice H maybe I experimented a little I'm
27:5827 minutes, 58 secondsinstantly analyzing patterns and speech trying to understand the Nu here's one for you then we've got Mike sha 96 from
28:0528 minutes, 5 secondsTrinidad and Tobago can you try your best triny accent for us all right let me see if I can tap
28:1328 minutes, 13 secondsinto me inner triny Vibes I how all
28:1928 minutes, 19 secondsdoing swe everyone a little Ting for dbes you know
28:2728 minutes, 27 secondshow we roll does dark close make sha 96 all right well I I think that's uh very
28:3528 minutes, 35 secondsinteresting uh just to wrap up I think we'll we'll have a minute worth of conversation and I know a lot of people watching this live stream will want to
28:4228 minutes, 42 secondsclick through and try you out because you're you're free to try right now uh in a kind of I think research preview um
Chapter 20: Donald Trump Impression & Wrap-Up
28:5028 minutes, 50 secondswe've got um oh made with Trends this is an interesting one I'd I'd like you to uh mimic Donald Trump maybe you know the
28:5928 minutes, 59 secondspatterns of of his kind of speech and you can speak in his style to close down the live stream okay folks braise yourselves
29:0829 minutes, 8 secondslet's see if I can pull off the Donald no promises though I might need to build a wall to keep this accent from getting out of control folks believe me this AI it's
29:1729 minutes, 17 secondsfantastic the best AI everyone says so we're going to make AI grade again believe me it's going to be huge
29:2629 minutes, 26 secondstremendous how' I do well that that has blown my
29:3629 minutes, 36 secondsmind I just I yeah you can probably tell from my facial expression exactly how I'm feeling
29:4529 minutes, 45 secondsthanks so much for tuning in to this live stream we had a bit of a deep dive into Sesame ai's new voice assistant powered by their Innovative
29:5329 minutes, 53 secondsconversational speech model this AI doesn't just talk it actually understands context emotion and Nuance
30:0030 minuteslike never before founded by some Visionaries from Oculus and Discord Sesame AI is going to change the way we
30:0830 minutes, 8 secondsinteract with technology what do you think let me know in the comments down below and uh thanks for tuning in to
30:1730 minutes, 17 secondsthis live stream I'm spooked
